CalName,CaseId,StationName,π¶¬ ÷∏¡Ó(%),Idc,Ud,UdL,Udio,Pd,Pconv,miu,Ang,TC,Uac,Uv,Qconv,Qf_max,Qf_min,Udio_N,Uv_N,
≤‚ ‘1493816327,SGFH222,P’æ, 45.0000,  0.4500,491.4160,491.8906,270.4998,221.1371,220.6399, 11.6194, 18.5484,   3,500.0000,200.2998,101.9146,612.5112,532.5112,270.4998,200.2998,
≤‚ ‘1493816327,SGFH222,S’æ, 50.0000,  0.6500,500.0000,499.3146,275.2692,324.9999,325.7611, 13.0101, 17.1142,   3,500.0000,203.8315,146.2880,740.3461,660.3461,275.2692,203.8315,
≤‚ ‘1493816327,SGFH222,K’æ, 50.0000,  0.1500,493.0606,493.3021,349.5185, 73.9591, 73.7621,  6.5925, 41.9041,   1,220.0000,258.8117, 74.4428,361.8911,281.8911,349.5185,258.8117,
≤‚ ‘1493816327,SGFH222,P’æ, 50.0000,  0.5000,490.4622,490.9896,270.4998,245.2310,244.6506, 12.8591, 18.0424,   3,500.0000,200.2998,114.0889,612.5112,532.5112,270.4998,200.2998,
≤‚ ‘1493816327,SGFH222,S’æ, 55.0000,  0.7150,500.0000,499.2460,275.2692,357.4999,358.3781, 14.4410, 16.1858,   3,500.0000,203.8315,160.3740,740.3461,660.3461,275.2692,203.8315,
≤‚ ‘1493816327,SGFH222,K’æ, 55.0000,  0.1650,492.3667,492.6323,349.5185, 81.2405, 81.0121,  7.2439, 41.6474,   1,220.0000,258.8117, 81.9935,361.8911,281.8911,349.5185,258.8117,
≤‚ ‘1493816327,SGFH222,P’æ, 55.0000,  0.5500,489.5084,490.0885,270.4998,269.2295,268.5602, 14.0974, 17.5223,   3,500.0000,200.2998,126.4005,612.5112,532.5112,270.4998,200.2998,
≤‚ ‘1493816327,SGFH222,S’æ, 60.0000,  0.7800,500.0000,499.1775,275.2692,389.9999,391.0025, 15.9197, 15.2024,   3,500.0000,203.8315,174.2980,740.3461,660.3461,275.2692,203.8315,
≤‚ ‘1493816327,SGFH222,K’æ, 60.0000,  0.1800,491.6727,491.9625,349.5185, 88.5011, 88.2391,  7.8943, 41.3893,   1,220.0000,258.8117, 89.5614,361.8911,281.8911,349.5185,258.8117,
≤‚ ‘1493816327,SGFH222,P’æ, 60.0000,  0.6000,488.5546,489.1875,273.7213,293.1326,292.3689, 14.3035, 19.0707,   2,500.0000,202.6853,147.8646,612.5112,532.5112,273.7213,202.6853,
≤‚ ‘1493816327,SGFH222,S’æ, 65.0000,  0.8450,500.0000,499.1089,278.6261,422.4998,423.6343, 16.0433, 16.6714,   2,500.0000,206.3172,202.1475,740.3461,660.3461,278.6261,206.3172,
≤‚ ‘1493816327,SGFH222,K’æ, 65.0000,  0.1950,490.9788,491.2927,349.5185, 95.7408, 95.4431,  8.5437, 41.1300,   1,220.0000,258.8117, 97.1458,361.8911,281.8911,349.5185,258.8117,
≤‚ ‘1493816327,SGFH222,P’æ, 65.0000,  0.6500,487.6008,488.2865,273.7213,316.9404,316.0766, 15.4537, 18.5843,   2,500.0000,202.6853,161.1554,612.5112,532.5112,273.7213,202.6853,
≤‚ ‘1493816327,SGFH222,S’æ, 70.0000,  0.9100,500.0000,499.0404,278.6261,454.9998,456.2735, 17.4469, 15.7294,   2,500.0000,206.3172,216.9415,740.3461,660.3461,278.6261,206.3172,
≤‚ ‘1493816327,SGFH222,K’æ, 70.0000,  0.2100,490.2848,490.6229,349.5185,102.9597,102.6241,  9.1922, 40.8692,   1,220.0000,258.8117,104.7464,361.8911,281.8911,349.5185,258.8117,
≤‚ ‘1493816327,SGFH222,P’æ, 70.0000,  0.7000,486.6470,487.3854,273.7213,340.6528,339.6832, 16.6052, 18.0854,   2,500.0000,202.6853,174.5623,612.5112,532.5112,273.7213,202.6853,
≤‚ ‘1493816327,SGFH222,S’æ, 75.0000,  0.9750,500.0000,498.9719,282.0659,487.4998,488.9202, 17.4817, 17.1870,   1,500.0000,208.8643,247.4525,740.3461,660.3461,282.0659,208.8643,
≤‚ ‘1493816327,SGFH222,K’æ, 75.0000,  0.2250,489.5909,489.9531,356.5089,110.1579,109.7823,  9.4682, 41.9006,   0,220.0000,263.9879,116.7346,361.8911,281.8911,356.5089,263.9879,
≤‚ ‘1493816327,SGFH222,P’æ, 75.0000,  0.7500,485.6933,486.4844,273.7213,364.2698,363.1889, 17.7599, 17.5727,   2,500.0000,202.6853,188.0788,612.5112,532.5112,273.7213,202.6853,
≤‚ ‘1493816327,SGFH222,S’æ, 80.0000,  1.0400,500.0000,498.9033,282.0659,519.9999,521.5743, 18.8168, 16.2855,   1,500.0000,208.8643,263.1005,740.3461,660.3461,282.0659,208.8643,
≤‚ ‘1493816327,SGFH222,K’æ, 80.0000,  0.2400,488.8969,489.2833,356.5089,117.3352,116.9174, 10.0910, 41.6489,   0,220.0000,263.9879,124.6533,361.8911,281.8911,356.5089,263.9879,
≤‚ ‘1493816327,SGFH222,P’æ, 80.0000,  0.8000,484.7395,485.5833,277.0204,387.7915,386.5936, 17.7490, 19.1457,   1,500.0000,205.1282,213.2691,612.5112,532.5112,277.0204,205.1282,
≤‚ ‘1493816327,SGFH222,S’æ, 85.0000,  1.1050,500.0000,498.8348,282.0659,552.4998,554.2358, 20.1987, 15.3326,   1,500.0000,208.8643,278.5678,740.3461,660.3461,282.0659,208.8643,
≤‚ ‘1493816327,SGFH222,K’æ, 85.0000,  0.2550,488.2030,488.6135,356.5089,124.4917,124.0296, 10.7132, 41.3960,   0,220.0000,263.9879,132.5863,361.8911,281.8911,356.5089,263.9879,
≤‚ ‘1493816327,SGFH222,P’æ, 85.0000,  0.8500,483.7857,484.6823,277.0204,411.2178,409.8974, 18.8297, 18.6670,   1,500.0000,205.1282,227.6944,612.5112,532.5112,277.0204,205.1282,
≤‚ ‘1493816327,SGFH222,S’æ, 90.0000,  1.1700,500.0000,498.7662,285.5918,584.9999,586.9048, 20.0519, 16.8680,   0,500.0000,211.4751,312.7400,740.3461,660.3461,285.5918,211.4751,
≤‚ ‘1493816327,SGFH222,K’æ, 90.0000,  0.2700,487.5091,487.9437,356.5089,131.6275,131.1190, 11.3349, 41.1417,   0,220.0000,263.9879,140.5332,361.8911,281.8911,356.5089,263.9879,
≤‚ ‘1493816327,SGFH222,P’æ, 90.0000,  0.9000,482.8319,483.7812,277.0204,434.5486,433.1001, 19.9144, 18.1762,   1,500.0000,205.1282,242.2142,612.5112,532.5112,277.0204,205.1282,
≤‚ ‘1493816327,SGFH222,S’æ, 95.0000,  1.2350,500.0000,498.6977,285.5918,617.4998,619.5811, 21.3651, 15.9606,   0,500.0000,211.4751,329.0543,740.3461,660.3461,285.5918,211.4751,
≤‚ ‘1493816327,SGFH222,K’æ, 95.0000,  0.2850,486.8151,487.2739,356.5089,138.7422,138.1851, 11.9560, 40.8862,   0,220.0000,263.9879,148.4932,361.8911,281.8911,356.5089,263.9879,
≤‚ ‘1493816327,SGFH222,P’æ, 95.0000,  0.9500,481.8781,482.8802,277.0204,457.7841,456.2019, 21.0045, 17.6723,   1,500.0000,205.1282,256.8232,612.5112,532.5112,277.0204,205.1282,
≤‚ ‘1493816327,SGFH222,S’æ,100.0000,  1.3000,500.0000,498.6291,285.5918,649.9999,652.2649, 22.7279, 15.0000,   0,500.0000,211.4751,345.1730,740.3461,660.3461,285.5918,211.4751,
≤‚ ‘1493816327,SGFH222,K’æ,100.0000,  0.3000,486.1212,486.6042,356.5089,145.8363,145.2285, 12.5767, 40.6294,   0,220.0000,263.9879,156.4662,361.8911,281.8911,356.5089,263.9879,
